,0,1
0,-0.36182028,-1.192069
1,-0.2818796,-1.4039066
2,-0.5254533,-0.89474267
3,-0.6474885,-0.74099076
4,-0.16090564,-1.9063113
5,-0.73442894,-0.6535022
6,-3.6687343,-0.025839712
7,-0.3716634,-1.1698494
8,-0.32519373,-1.2815287
9,-0.12965001,-2.1070411
10,-1.8404982,-0.17285252
11,-0.31929383,-1.2970463
12,-2.6482959,-0.07340088
13,-3.286162,-0.038114283
14,-0.69576126,-0.6905399
15,-1.3344952,-0.30556238
16,-0.23828888,-1.5510511
17,-0.34868106,-1.2228775
18,-0.13531382,-2.0670524
19,-2.1950154,-0.11805956
20,-2.0698555,-0.1349084
21,-0.47259837,-0.9765195
22,-3.2581444,-0.039218843
23,-2.998614,-0.051141907
24,-0.19382572,-1.7361441
25,-1.7571222,-0.18939534
26,-1.5434273,-0.2403502
27,-3.450686,-0.03223797
28,-0.15119289,-1.9638431
29,-1.2515199,-0.3369698
30,-0.36658868,-1.1812161
31,-2.8668215,-0.058561098
32,-1.7568076,-0.18946093
33,-0.122569606,-2.1597352
34,-3.056936,-0.048173558
35,-0.18110074,-1.797886
36,-0.69529843,-0.6910005
37,-0.20230949,-1.6974066
38,-0.81712824,-0.58285564
39,-0.43908393,-1.0345864
40,-0.78652656,-0.60774755
41,-1.8171384,-0.1773222
42,-0.40528685,-1.098969
43,-3.6726868,-0.025736434
44,-2.7011387,-0.06948839
45,-3.6884515,-0.02532879
46,-0.21439838,-1.6452042
47,-0.2507589,-1.5060241
48,-3.323847,-0.03667852
49,-0.4194871,-1.0711449
50,-2.3951344,-0.095586725
51,-1.1961942,-0.3600273
52,-1.1269455,-0.39159393
53,-0.25964034,-1.4754709
54,-0.2523398,-1.5004966
55,-0.31890878,-1.2980704
56,-2.8891478,-0.057230406
57,-3.2080138,-0.0412771
58,-0.20032068,-1.7063249
59,-1.1309488,-0.38968065
60,-2.1374683,-0.12551008
61,-0.5327697,-0.8842521
62,-0.80974245,-0.58873785
63,-0.31101975,-1.3193816
64,-0.85040283,-0.55729336
65,-1.5204049,-0.24669799
66,-0.4997941,-0.9330696
67,-2.7225103,-0.06796792
68,-1.5200704,-0.2467916
69,-0.16064234,-1.9078207
70,-1.950278,-0.1534245
71,-0.93674326,-0.4974193
72,-0.7905531,-0.60439277
73,-0.743907,-0.64483994
74,-0.44946814,-1.0160209
75,-0.7558972,-0.6341033
76,-0.7991367,-0.5973227
77,-0.89009607,-0.5286779
78,-0.85775745,-0.55184233
79,-0.5126673,-0.9135346
80,-1.9845488,-0.14785357
81,-2.3886595,-0.096238516
82,-0.6478392,-0.7406058
83,-0.80601025,-0.59174013
84,-0.4003034,-1.1090163
85,-0.4055959,-1.0983509
86,-1.4877727,-0.2560222
87,-0.8710509,-0.5421641
88,-0.16767299,-1.8684052
89,-1.0657215,-0.42232522
90,-3.3009996,-0.037542313
91,-1.1443832,-0.38334203
92,-0.718692,-0.6682385
93,-0.19566125,-1.7276063
94,-0.22169474,-1.6152542
95,-0.14810967,-1.9829428
96,-0.5700183,-0.8335942
97,-2.5284126,-0.08314862
98,-3.583422,-0.0281736
