,response1
0,"@ USER I don ' t get it. . manifestly you don ' t care, surgery you would have moved right along. . alternatively you adjudicate to pack upkeep of them and troll them.."
1,@ USER tries to protest about. Peach about him and his labels and they label themselves WTF do it?
2,"@ USER Helium makes a madness about money from MOVES, Mastermind! # LearnHowTheSystemWorks"
3,"@ USER Trump won ' metric ton even publish his SAT scores in the interim, and his Wharton prof said helium ' s the slow scholarly person they ' ve ever taught."
4,"@ USER pretty certain that the anti - capital of nebraska crowd claim that "" democracy equal on the vote "" in 1860, also. They thought Lincoln was "" autocratic "". # republican party # PartyOfLincoln # Democrats"
5,@ USER -> per day line ne'er estimate a book by its book binding
6,"It excites him, so kills jillion."
7,"Ohio look, it ' s the # racialist @ exploiter offers solidarity to the fleeceable # idiot @ USER for kvetch about racists"
8,@ USER Since they are the greatest tyrant of all!
9,"@ USER responds to facts by ejecting hectic abuse, then criminate others to follow triggered by fact "", ramble on the ground laugh brass with tears of joy rolling on the ground laughing"
10,"@ substance abuser yes, there information technology be, but the only single who acknowledge how sick is"
11,"@ substance abuser Similar to Trump, Sen Cruz Tragically born without bones. _"
12,"@ drug user Hey, but what do they receive to lose? Ask for some black friends."
13,"@ drug user I sleep with how the stupid company often impeach liberals of being "" Tards ""."
14,@ substance abuser we laughed about it when his friends don ' t desire to gov jobs. A billionaire is a good deal more fun than chief executive.
15,"$ federal national mortgage association Sweep oar Accounting is antiGAAP. Divs at the specified charge per unit, considered as operating cost? It as steal $"
16,Iodin recall a few months sooner when we said the Americans shouldn ' t tell us how to vote about Brexit.
17,@ substance abuser Last time One hold in ko'd because s no Y in - Science Fiction
18,"@ exploiter I mean, if Iodine live a Muslim American, I would feel whole good under a Trump presidency."
19,"@ exploiter Welp, see what was taken at Plot fivesome earlier in the serial. .. # OwnIt # OhhhTheBurn"
20,"@ drug user directly jag / Geo has found nothing new & Qayyum Siddiqi reporting SC cannot cost on the case, technical reason etc."
21,@ USER Nice to see our Blossom Minister lying to the President instantly
22,"@ USER Hopefilly you modify, continue, and then get appeal of bastard glasses you want. but # Win"
23,@ USER The disturbed thing about his tweet is that he call SOMEONE ELSE OUT for racist.
24,"@ substance abuser To answer your pretty dazed enquiry, no, I ' megabyte not savor bothering women at all _"
25,"@ USER Sounds good to me. I mean, that ' s the like standard they utilize when shooting contraband kids in Us so wherefore non use when murdering foreign leadership?"
26,@ drug user Not enough. Is the guilt trip of election college. Libs going to cry that it live personify manipulated? Tables feature turned.
27,"@ USER please, learn your own goddam comment. Lmao."
28,@ USER Your President spend most of the day gravel people.
29,@ drug user Simply in the end in that respect will finally be peace in the Midriff Due east! / s # wartoendallwars
30,"@ exploiter Ofc he is not the mayor of Muslimism practice non ignore his own, see no status on EID, Ramadan, Muharrum @ USER"
31,"@ drug user alarum Yeah, merely doesn ' t cuz large PR & # MSM non reported, right? @ exploiter # DNCLeaks @ USER"
32,@ USER NAW. I was simply a player. Invite because it be fundraising. Because I had money.
33,@ USER broken system. can ' t do often astir it. Cursed that we pay taxes for it. derriere ' t even reject because and so we go to jail.
34,@ USER Thank God. .. Power was back on after xvi hours. Face screaming in fear typeface screaming in fear angry facial expression could exclusively have been rolling on the floor laughing on the base laughing on the floor rolling on the floor in 2020
35,@ drug user Hysterical that they used Williams as source iv of this fib! # Liar # HillaryLies
36,"@ USER Yes, same "" all my wedding activity were ruined by assholes. """
37,"@ exploiter "" Non everyone is born with a silver spoon "", only you defend those who brutalize the demonstrator who have little?"
38,"@ USER Yes, just this make up the Old Testament, we ingest to stupefy aside from it. .."
39,@ USER some in Billy rays and precisely pip.
40,@ USER must be CPFC because Nigel Farage supports them
41,@ substance abuser Your father god is an immigrant from Holy land. Successful calif. real estate developer. Moslem.
42,"@ USER G force devote them a break, they have never defended Commonwealth of australia before! # auspol"
43,"@ USER rob decries fascism, and so secrecy all world health organization dare not agree with it."
44,@ exploiter Awesome! !! ! Everyone does it. That ' s the magnanimous reason to serve something.
45,@ USER It tells you everything you need to know about them _
46,@ exploiter Or make you comment on a story in which you seem to have no stake? # JustSayin
47,"@ USER have it soyboy, 1 ' m sure you & your 3 follower leave go because some good chaos"
48,@ substance abuser Georgie hates women once again Iodin see. Only got her problem in news by wearing a short skirt and low cutting peak
49,@ USER I ' m sure he ' ll tell us when to betray his time
50,"@ USER Waiting Unity ' yard confused, did Chairwoman Trump shoot knock down the super acid or did Iran? think face"
51,@ USER Oh. How scandalous! You need people to palpate good! How dare you!
52,"@ USER Simply wait, that doesn ' mt earn any sense to maine. I ' m forever told Kelly throws his thespian under the bus."
53,"@ USER right. We should emphatically listen to you, Louise. You just make out thing."
54,@ substance abuser haha! and some cry astir Triple tallaq as they care astir women. .. what a.
55,"@ USER You have intercourse you can heed to them similar applied science. Like Spotify and you Tube. don ' t be bitter. Also, I ' m 90% certain they ' rhenium playing Chicago. # imockwittlove"
56,"@ exploiter> have been overwork, quit, & now fights for UBI."
57,@ USER I was invited by the Ministry of Touristry _ @ drug user
58,@ USER His job be to take a course on ethic at William and Mary. No joke.
59,@ substance abuser no you coif not. You shur downward exit ramps for hours simply try to save metre by speed.
60,@ USER Every dentist I always know had a big sweet tooth himself! # StoryDam
61,@ USER? ? Valet de chambre world health organization harms citizenry atomic number 2 himself is never met in his ain country. ...
62,"@ exploiter No, is not a cupcake. No one felt that we were there because of our cupcake agenda. Step up, dug deep and ear the victory over a arduous opposite. This post cost t intended to cry OSU a cupcake. .. Information technology ' s just sarcastic. # ALLIN # Clemson"
63,@ drug user Gold and not # Bitcoin? I ' metre shock at words.
64,"@ USER Extremely boring solvent, only nice to hear, you are considerate astir your client. .. @ exploiter"
65,"@ drug user Robert emmet sherwood Woods in Annapolis is a $ $, exclusive neighborhood"
66,@ USER Of trend not. America be non oily. angry face
67,". @ substance abuser From FNs ' child welfare to resource growth, the Conservatives ' response was, "" We figure ourselves in court "" # cdnpoli"
68,"@ exploiter You know what they aver, any joke that need account make up not funny. Maybe you meant. .. I ' ll explain the need to make the divergence while referring KU. Oooops my bad"
69,Sen Bertino tarrant we need to be careful what we want. At some full stop choose ppl bad ppl. Some problems will non be solved # HB557
70,@ USER law enforcement would call for weapons to hire aside weapons.
71,@ USER One would place money on the fact that you bet correctly.
72,"@ USER so much incorrect with what you just say, information technology ' s hard to find the start item where to start"
73,@ USER That what Rahul. Thought you would hump. didn ' t follow me long plenty to know I wouldn ' t choose Cong as in the adjacent janma also? expressionless face
74,@ USER it is apparently okay to equal compensated for delayed but not injured.
75,@ USER that ' s been funny in some ' Gangster ' place in SouthLondon & Commonwealth of australia but creepy place I go be ComptonsSoho
76,@ USER Unity just - Love as you get all of this insight from a 22 sec ' snap from video. ..
77,@ drug user Second on. I ' m proud of my talent too
78,"@ USER Andy, can you read this tweet and then take on salmon UVA - UL post secret plan put down? # self important"
79,@ exploiter detain itself as in the had to apply @ substance abuser to come to the station to aim a @ drug user train? # South Fail
80,"@ USER Awesome customer service, I said I would get an solution in 72 hours and if that befall, was call for to offer information and have over 24 hours later still 0 recognition."
81,"@ USER Yeah, that doesn ' t match their hate - driven narrative and provoke @ USER so busy. The inclusive, loving, non - bigoted libs. are so little busy soundbox of contradiction in terms. Homily credence but only by those who think, believe and behave alike them. # Narcist"
82,"@ USER We forever supervise customer feedback and look forth to bringing HomeKit to the market. Instead of mould on information technology, we are research new products that our customers want. Thank you for your suggestion."
83,"@ USER pti and IK only altercate their case in which they accuse autopsy without evidence,"
84,"@ USER # OROP All political parties sailed in a sauceboat, armymen sat at Jantarmantar, cook it happling this time."
85,"@ USER Sound like a nice "" proven technology for bot detection """
86,@ USER you should show them the spoof judge of i of today! that volition take a leak them laugh and would be a dandy additional word.
87,"@ drug user This be a very good thought out, articulated, and sound take."
88,@ USER nevertheless the left reminds the American english how fat everyone is
89,"@ USER No i.q. concerns either if you know what they are, you are either naive operating theater dirty"
90,@ substance abuser You are a mellow school failure on welfare. You are not qualify to impugn someone ' s intelligence.
91,"@ exploiter Always love information technology when someone who toilet ' t spell "" There are "" comments about ignorance."
92,"@ USER So we trust the maffia. History make proven it ' s rightful. No former for the tech mafia. The good mafia Don make for a heroic champion, but never the winner in any mafia war beaver state movie."
93,"@ drug user Yeah! Let ' s forfeiture a boy ' s future tense to specify an example! Earnestly, a little empathy comprise no damage."
94,@ USER Ask Trump how neat a guy Trump is. Face with tears of joy
95,@ USER r these the like poll that DT told us non to win & Edmund hillary will win # WI # mile?
96,"@ drug user wow "" The atmosphere imply nothing to uranium, at that place is no answer & do not affect how we play "" - quote Nobelium instrumentalist at all."
97,@ substance abuser My married woman just posted a Facebook text and asked if he swing the car once more Hah!
98,@ exploiter hoi polloi world health organization disagree are very mean and aggressive in the language they use in the comment
99,"@ substance abuser is what funniness comprise for. Before this video, I haven ' t heard anything. MSM omission is also deception @ USER"
100,"@ USER You know you get a profile look alike of a man kissing former military personnel on his lips, decently?"
101,@ substance abuser You are a Bay tree Area sports lover who wants # calexit bc you hate calif.? # finebyme
102,"@ USER since the Cyberspace. .. socialise america to be anti - societal, through with societal media. .."
103,"@ USER Right, because most people take their children with them to commit burglary. So what if they ne'er see him? If there are 10 people who live in that location, they have a hundred + relationships that they ' ve never seen before. Plus acquaintance. No one owes her an account."
104,"@ drug user songs incl. . "" Ace jazz China "" v. people chanting anti - establishment slogans"
105,"@ drug user say ppl, which in a megalomaniac world TV sensation chosen as # lohansux"
106,@ USER a black man say atomic number 2 want smutty race murder for Christmas. .. sounds like a Richard Pryor prank..
107,@ substance abuser Hilarious to visit # Journalism org Decribe fake news stories.
108,@ USER Oh no. Unity only told customer that at that place is a good hazard of 90% returns in shares ended the next year! # noguarantees
109,"@ drug user Yeah, whorl everyone who doesn ' t harmonize with you, this is the highlight of emotional maturity!"
110,"@ drug user High school quality materials get along not allow u to be it lower & Of course it ' s not from Corning, we just like to utilize gens of our strategical partners randomly exploding head"
111,"@ USER This is so omnipresent, I almost liked it. Will 1 claimed to supervene upon prejudice with another 1 of your own choice - that, s hilarious. But, perform not acknowledge that the bias of your choice already be. .. Well - That ' s the * * IRONY * *"
112,@ USER reliable & our policy god almighty never learn from past experiences @ USER
113,@ USER Nada says better than Denise! tin ' t even decide what she supports politically? LOL SMH # Projection
114,@ USER All those black the great unwashed being shot because they ' re piteous. Who would take in thought?
115,"@ USER You have ZERO say they can slow it downcast, simply father ' t stop because they change the rules in 2014."
116,"@ USER The satire in this tweet, turn a loss on every trumpet suspensor, including the writer, is priceless."
117,"@ USER Democrats exact that we judge every immigrant by his fictitious character, simply you judge all Republican river as evil."
118,"@ exploiter Just in my case, the device couldn ' t resist water when it was first off recorded in the puddle."
119,We cannot let the billionaires to give their fair share. We moldiness continue to subsidize them! !!!
120,@ USER Take your bridge player off the wheel the next time you drive your car back down the highway and ascertain how respectable a cowcatcher Divinity is. Beneficial Luck!
121,@ USER __ ' You ' ve win everything by fucking cheating ' amount to my mind
122,@ USER that ' s precisely what I think - e. gravitational constant. this 1 somebody who is known to be a groovy trend hopper
123,"@ USER rolling on the priming coat express mirth & these crooks on Trudeau ' s media campaign produced "" Skandale "". Steve reich. # Karma"
124,@ substance abuser Imagine a trump Sycophant talking astir loyalty to everyone.
125,@ USER LOL ring yourself Freedom Zone and you tapl about getting rid of public medium.
126,@ USER think the like thing! could not read astir put the phone without my phone! ___
127,@ USER That ' s what One say every day about Donald Trump. # mindblown # oops
128,"@ USER One want to give you the advantage of doubt, but I don ' t get the formula. As the Boomtown Blabber sang, you are hangdog, "" until proved guilty is not that the law? Guilty, "" until proven hangdog that live what we all saw"
129,@ drug user is actually a thought about racial identity element and how to look deep.
