,0,1
0,-2.2041144,-0.116925105
1,-0.283097,-1.400177
2,-0.47708791,-0.9691324
3,-0.42766368,-1.0556409
4,-0.21462627,-1.6442516
5,-0.2694926,-1.4429362
6,-2.949265,-0.053799782
7,-0.5590043,-0.8481139
8,-0.23895775,-1.5485691
9,-0.14340991,-2.0128968
10,-1.631591,-0.21768108
11,-1.1372681,-0.38668358
12,-2.445516,-0.09067045
13,-3.0798826,-0.047054514
14,-0.32819578,-1.273759
15,-1.4101487,-0.27985546
16,-0.18359593,-1.7854118
17,-1.9209764,-0.15836738
18,-0.21927743,-1.6250536
19,-2.2817624,-0.10770111
20,-1.8446724,-0.17206687
21,-0.25828335,-1.4800615
22,-2.4073355,-0.09437104
23,-1.7148961,-0.19842947
24,-0.28588814,-1.3916955
25,-1.0950466,-0.40725276
26,-1.5862298,-0.22903077
27,-2.305618,-0.10502405
28,-0.15267092,-1.9548352
29,-1.531109,-0.24372348
30,-0.2717051,-1.4358165
31,-2.3618417,-0.09898808
32,-1.1402851,-0.38526234
33,-0.17297706,-1.8398381
34,-2.3321025,-0.10213392
35,-0.2140539,-1.6466458
36,-0.21237756,-1.6536998
37,-0.22187799,-1.614516
38,-0.42269737,-1.0650139
39,-0.3475569,-1.2255774
40,-0.20281298,-1.6951641
41,-1.4334829,-0.27243477
42,-0.215858,-1.6391228
43,-3.053032,-0.04836655
44,-0.34165704,-1.2399172
45,-2.899585,-0.056619033
46,-0.22265391,-1.6113989
47,-0.3335047,-1.2602205
48,-3.022884,-0.049884427
49,-0.2771587,-1.4185457
50,-2.6002285,-0.0771582
51,-2.2404335,-0.11251092
52,-0.2821863,-1.4029653
53,-0.20499237,-1.6855282
54,-0.15299904,-1.9528478
55,-0.35788587,-1.2011529
56,-2.5882998,-0.07812126
57,-2.9422693,-0.054187853
58,-0.23432387,-1.565926
59,-2.1995652,-0.11749085
60,-2.067585,-0.13523667
61,-1.0468167,-0.43240497
62,-0.79503053,-0.600691
63,-0.42951384,-1.0521833
64,-1.1055094,-0.40203425
